,Data ora,Anno,Mese,Giorno,Ora,PDMM,PDMF
135,2021-01-06 15:00:00.665,2021,1,6,15,0.0014169582000442922,0.003524150431195058
136,2021-01-06 16:00:00.670,2021,1,6,16,0.001440133561525222,0.0035817904237887476
137,2021-01-06 17:00:00.675,2021,1,6,17,0.0016313248357102794,0.004057306787883991
138,2021-01-06 18:00:00.680,2021,1,6,18,0.0018120877670627755,0.0045068865725594095
139,2021-01-06 19:00:00.685,2021,1,6,19,0.0019638750759083897,0.004884400397527209
140,2021-01-06 20:00:00.690,2021,1,6,20,0.0019635278431053642,0.004883536786566442
141,2021-01-06 21:00:00.695,2021,1,6,21,0.0018402291450255624,0.004576877662825078
142,2021-01-06 22:00:00.700,2021,1,6,22,0.0015913051087074793,0.003957772773282278
143,2021-01-06 23:00:00.705,2021,1,6,23,0.001296097882585488,0.0032235558618750157
144,2021-01-07 00:00:00.710,2021,1,7,0,0.0010486072845780176,0.002608016110838263
145,2021-01-07 01:00:00.715,2021,1,7,1,0.0008838163534314951,0.002198160667650948
146,2021-01-07 02:00:00.720,2021,1,7,2,0.0007946723507572549,0.0019764484989694326
147,2021-01-07 03:00:00.725,2021,1,7,3,0.0007542900371635136,0.0018760126866359504
148,2021-01-07 04:00:00.730,2021,1,7,4,0.0007494819867322517,0.0018640544700844603
149,2021-01-07 05:00:00.735,2021,1,7,5,0.0008110345293650855,0.0020171432624383014
150,2021-01-07 06:00:00.740,2021,1,7,6,0.0010063499887455476,0.002502916985596261
151,2021-01-07 07:00:00.745,2021,1,7,7,0.0012949907234722244,0.004481042187302124
152,2021-01-07 08:00:00.750,2021,1,7,8,0.0013854129220423964,0.004484466687009666
153,2021-01-07 09:00:00.755,2021,1,7,9,0.0014203965422909914,0.004597705763316636
154,2021-01-07 10:00:00.760,2021,1,7,10,0.001400031513372415,0.0045317858543044475
155,2021-01-07 11:00:00.765,2021,1,7,11,0.0014000541147060886,0.004531859012946416
156,2021-01-07 12:00:00.770,2021,1,7,12,0.0014465508932887071,0.004682365227584304
157,2021-01-07 13:00:00.775,2021,1,7,13,0.0014577931226813085,0.004718755391409627
158,2021-01-07 14:00:00.780,2021,1,7,14,0.00144904273382688,0.004690431108669275
159,2021-01-07 15:00:00.785,2021,1,7,15,0.0014169582000442922,0.004586576134728265
160,2021-01-07 16:00:00.790,2021,1,7,16,0.001440133561525222,0.004661592857083809
161,2021-01-07 17:00:00.795,2021,1,7,17,0.0016313248357102794,0.0052804631493183025
162,2021-01-07 18:00:00.800,2021,1,7,18,0.0018120877670627755,0.00586557776099772
163,2021-01-07 19:00:00.805,2021,1,7,19,0.0019638750759083897,0.006795575370718403
164,2021-01-07 20:00:00.810,2021,1,7,20,0.0019635278431053642,0.006794373844861137
165,2021-01-07 21:00:00.815,2021,1,7,21,0.0018402291450255624,0.006367724713156472
166,2021-01-07 22:00:00.820,2021,1,7,22,0.0015913051087074793,0.005506375602342722
167,2021-01-07 23:00:00.825,2021,1,7,23,0.001296097882585488,0.0032235558618750157
168,2021-01-08 00:00:00.830,2021,1,8,0,0.0010486072845780176,0.002608016110838263
